model,seed,fold,subset,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,time_sec
AG-T2I-attention_map,1,1,train,0.9657118055555556,0.7724361612506111,0.7980053323133197,0.7724361612506111,0.7656096405647997,,,,,204.87465596199036
AG-T2I-attention_map,1,1,test,0.9652777777777778,0.7898226063390057,0.8181204943395914,0.7898226063390057,0.7788777855243113,0.9727265186572741,0.9652777777777778,0.966472347027483,0.9914517772592468,204.87465596199036
XGBoost,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1729116439819336
XGBoost,1,2,test,0.9958333333333333,0.9942451829173509,0.9630825181840983,0.9942451829173509,0.9780445221799369,0.9960233728367194,0.9958333333333333,0.9958824837615228,0.9991179161709347,0.1729116439819336
LightGBM,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.176987886428833
LightGBM,1,2,test,0.9972222222222222,0.9989997499374844,0.9677777777777777,0.9989997499374844,0.982769233377553,0.9974050925925926,0.9972222222222222,0.9972677554422215,0.9994501272991919,0.176987886428833
CatBoost,1,2,train,0.9987847222222223,0.9984911897129626,0.9892061178825885,0.9984911897129626,0.9938037746026839,0.9987995674136145,0.9987847222222223,0.9987885185396714,0.9999863538987364,0.48766040802001953
CatBoost,1,2,test,0.99375,0.9836440477850831,0.9493030601939924,0.9836440477850831,0.9658291260232342,0.9940310767925502,0.99375,0.993838129757619,0.9993201803542294,0.48766040802001953
TabNet,1,2,train,0.9366319444444444,0.4960530897842769,0.6412415506126973,0.4960530897842769,0.5404923497292701,0.8920158762222958,0.9366319444444444,0.9115194754679644,0.7510039981335558,91.2871265411377
TabNet,1,2,test,0.9388888888888889,0.5252525252525252,0.6469066102093625,0.5252525252525252,0.5667412587412587,0.893735787657806,0.9388888888888889,0.9141654817404816,0.7507878293060686,91.2871265411377
FT-Transformer (lite),1,2,train,0.9946180555555556,0.9580244083909021,0.9759902262316609,0.9580244083909021,0.9664932001862844,0.9946470732075459,0.9946180555555556,0.9945940971080994,0.9997237553100273,155.3494312763214
FT-Transformer (lite),1,2,test,0.99375,0.9639421526143206,0.9557877601592258,0.9639421526143206,0.9598070798070797,0.9938016940830664,0.99375,0.9937664330997664,0.9992022972642746,155.3494312763214
IGTD-inspired,1,2,train,0.9913194444444444,0.949604854689383,0.9570961860760067,0.949604854689383,0.9519620665115381,0.9914382211384207,0.9913194444444444,0.9912045903597118,0.9993082185450515,53.43064069747925
IGTD-inspired,1,2,test,0.9791666666666666,0.890619767964104,0.9135611154544362,0.890619767964104,0.8970008391154098,0.9796479703682645,0.9791666666666666,0.9787305202665921,0.9958804842155679,53.43064069747925
Naive Reshape,1,2,train,0.9904513888888888,0.938613700502719,0.9647263872470578,0.938613700502719,0.9513692426622976,0.9903040594723259,0.9904513888888888,0.9903431687921856,0.9992620704659062,51.969579219818115
Naive Reshape,1,2,test,0.9868055555555556,0.9175550439616457,0.9508102868012878,0.9175550439616457,0.933564177278314,0.9866037878926447,0.9868055555555556,0.9866093827313615,0.9974527539662912,51.969579219818115
AG-T2I-step_row,1,2,train,0.9858940972222222,0.8984326723102583,0.9523068722650021,0.8984326723102583,0.9239807168928932,,,,,159.94415926933289
AG-T2I-step_row,1,2,test,0.9798611111111111,0.8740803136902162,0.9177218087495959,0.8740803136902162,0.8946345047421728,0.97948473537275,0.9798611111111111,0.9795769440276907,0.9941538225844928,159.94415926933289
AG-T2I-packed,1,2,train,0.9340277777777778,0.46082477840433594,0.6219557538575944,0.46082477840433594,0.502872757181893,,,,,137.54079413414001
